id_news|diario|title|snippet|time|year|svm_prediction
ecuador_eluniverso_2015_115|El Universo|Desarticulan red que vendía drogas sintéticas en Ecuador|La Policía colombiana desarticuló una red de narcotraficantes dedicada a la elaboración y venta de drogas sintéticas que eran distribuidas en Ecuador, Perú, ...|29 abr. 2015|2015|crime
ecuador_eluniverso_2018_108|El Universo|Droga detectada en Manta iba a México|... específicamente en la sección Servicio Contra Incendios de la Fuerza Aérea Ecuatoriana, en cuyo hangar se hallaron en sacos de yute 990 paquetes con la ...|14 Sep. 2018|2018|crime
ecuador_elcomercio_2015_40|El Comercio|Ecuador no descarta acudir a Corte Suprema de EE.UU. por caso ...|La Procuraduría de Ecuador advirtió el martes 4 de agosto, que evalúa acudir a la Corte Suprema de Estados Unidos por el fallo de una Corte de Columbia que ...|4 ago. 2015|2015|polit
ecuador_elcomercio_2015_47|El Comercio|Presunta terrorista que asoló París estuvo 6 meses en Ecuador, según ...|La presunta terrorista, identificada como Al Sakhadi Seham, de nacionalidad siria, hizo una escala en Bogotá adonde llegó desde Ecuador, país en el que ...|19 Nov. 2015|2015|crime
ecuador_elcomercio_2015_59|El Comercio (Ecuador)|La CorteIDH condenó al Ecuador por la muerte de un menor de 16 años|Por su parte, la versión que brindó el policía en los tribunales del Ecuador expresa que, efectivamente, llegó al lugar, que peleó con uno de los jóvenes, pero ...|22 dic. 2015|2015|crime
ecuador_elcomercio_2015_60|El Comercio|FF.AA. dicen que ataque a un soldado ecuatoriano en frontera es un ...|La mañana de este lunes 20 de abril del 2015, las Fuerzas Armadas de Ecuador emitieron un comunicado sobre el militar herido en la frontera con Colombia.|20 abr. 2015|2015|crime
ecuador_elcomercio_2015_65|El Comercio (Ecuador)|Ecuador inicia mañana su primer juicio por crímenes de lesa humanidad|La Corte Nacional de Justicia de Ecuador iniciará este lunes, 9 de noviembre de 2015, el primer juicio en el país por crímenes de lesa humanidad, en el que ...|8 Nov. 2015|2015|crime
ecuador_elcomercio_2015_67|El Comercio|15 hitos del caso 'valija diplomática'|Tres años después de que la Policía italiana encontrara la valija diplomática contaminada con cocaína, el Ministerio del Interior de Ecuador sostiene que el ...|8 May. 2015|2015|crime
ecuador_elcomercio_2015_94|El Comercio|Desbaratan red internacional de trata de ecuatorianas con fines ...|Ecuador, Colombia y Perú desarticularon una organización internacional de trata de mujeres, incluidas adolescentes que eran forzadas a prostituirse en Lima ...|4 Mar. 2015|2015|crime
ecuador_elcomercio_2016_45|El Comercio (Ecuador)|Madre de argentina asesinada en Ecuador, 'conforme' con la condena|La madre de María José Coni, una de las dos jóvenes argentinas asesinadas mientras viajaban como mochileras en Ecuador en febrero del 2016, dijo el 18 de ...|18 ago. 2016|2016|crime
ecuador_elcomercio_2016_74|El Comercio (Ecuador)|Casi seis toneladas de cocaína fueron incautadas en aguas del ...|Colombia y Ecuador anunciaron en marzo que examinan crear una fuerza militar conjunta para fortalecer la seguridad en la frontera común, de unos 700 km y ...|13 abr. 2016|2016|crime
ecuador_elcomercio_2016_77|El Comercio (Ecuador)|Emiten detalles de cómo murieron las turistas argentinas en Montañita|... narcos colombianos de ser los asesinos, pero la Justicia ecuatoriana no creyó en su versión y los acusó, junto a 'El Rojo', por doble homicidio agravado.|11 ago. 2016|2016|crime
ecuador_elcomercio_2016_85|El Comercio (Ecuador)|Ecuador aún es país fuente, de tránsito y destino de trata, según ...|""""""El Gobierno de Ecuador no alcanza por completo los estándares de eliminación de la trata de personas. Sin embargo, se encuentra realizando esfuerzos ...""|1 Jul. 2016|2016|crime
ecuador_elcomercio_2017_39|El Comercio (Ecuador)|Se investiga una amenaza de bomba en Correos del Ecuador, en el ...|La mañana de este jueves 16 de febrero del 2017 se registró una amenaza de bomba en las instalaciones de Correos del Ecuador, ubicado en la avenida ...|16 Feb. 2017|2017|crime
ecuador_elcomercio_2017_62|El Comercio (Ecuador)|Conmoción en Ecuador por la muerte de la pequeña Emilia en Loja|En el fondo de una quebrada, en la carretera Loja-Catamayo, fue encontrado la mañana del martes, 19 de diciembre del 2017, el cadáver de Emilia, de nueve ...|20 dic. 2017|2017|crime
ecuador_elcomercio_2017_75|El Comercio (Ecuador)|Lenín Moreno: 'No podemos seguir impávidos ante asesinatos de ...|... de vida, y no de muerte”, sostuvo Moreno y agregó: “No es posible que, en promedio, en Ecuador muera una mujer cada tres días por algún hecho violento”.|25 ago. 2017|2017|crime
ecuador_elcomercio_2017_81|El Comercio (Ecuador)|Archivada la investigación por violación contra Julián Assange en ...|Assange se refugió en junio de 2012 en la embajada de Ecuador en ... El 8 de mayo, Ecuador había denunciado en una carta dirigida al gobierno sueco la ...|19 May. 2017|2017|crime
ecuador_elcomercio_2018_0|El Comercio (Ecuador)|La dura verdad en la frontera colombo-ecuatoriana tras el crimen de ...|El brutal crimen del equipo periodístico de Diario EL COMERCIO destapó una verdad incómoda que ya advertían analistas: entre Ecuador y Colombia opera ...|15 abr. 2018|2018|crime
ecuador_elcomercio_2018_16|El Comercio (Ecuador)|Presidente de Colombia anuncia que alias 'Guacho' ha sido abatido|Guacho' era uno de los criminales más buscados en Colombia y Ecuador al ser ... equipo de prensa de EL COMERCIO (abril de 2018), el secuestro y posterior ...|21 dic. 2018|2018|crime
ecuador_elcomercio_2018_17|El Comercio (Ecuador)|Triste llegada de los cuerpos de Óscar y Katty al Ecuador|Triste llegada de los cuerpos de Óscar y Katty al Ecuador ... Paúl Rivas, miembros de EL COMERCIO, quienes también fueron secuestrados y asesinados en la ...|6 Jul. 2018|2018|crime
ecuador_elcomercio_2018_18|El Comercio (Ecuador)|Gobierno confirma secuestro de equipo periodístico de EL ...|Gobierno confirma secuestro de equipo periodístico de EL COMERCIO en Mataje ... El Ministro relató que las autoridades de Ecuador tienen “un registro de que ...|27 Mar. 2018|2018|crime
ecuador_elcomercio_2018_20|El Comercio (Ecuador)|Ecuador hará 'lo imposible' por la liberación de periodistas secuestrados|El gobierno de Ecuador hará “lo imposible” para lograr la liberación de un equipo periodístico del Diario EL COMERCIO, que fue secuestrado hace una ...|3 abr. 2018|2018|crime
ecuador_elcomercio_2018_29|El Comercio (Ecuador)|Posible coche bomba deja 14 policías heridos en atentado a cuartel ...|... el cuartel de la Policía de esa zona ubicada en la frontera ecuatoriana con Colombia. ... EL COMERCIO conoció de fuentes de seguridad que se investiga un ...|27 ene. 2018|2018|crime
ecuador_elcomercio_2018_40|El Comercio|La mafia usó antes otro bus para pasar droga a Ecuador|Una red de narcotráfico, con colaboradores en Colombia, Ecuador y Perú, está detrás del envío de 579 kilos de marihuana dentro del bus que se accidentó en ...|17 ago. 2018|2018|crime
ecuador_elcomercio_2018_45|El Comercio (Ecuador)|Familia de periodistas de Ecuador esperan avance caso con captura ...|Ricardo Rivas, hermano de Paúl, el fotógrafo secuestrado en marzo pasado y asesinado en cautiverio junto a dos compañeros más del diario El Comercio de ...|7 Jul. 2018|2018|crime
ecuador_elcomercio_2018_62|El Comercio (Ecuador)|Medios de Ecuador se solidarizan por asesinato de equipo ...|Medios de Ecuador se solidarizan por asesinato de equipo periodístico de EL COMERCIO ... del 2018 su solidaridad ante el asesinato del equipo periodístico de EL COMERCIO. ... “Ecuador está de luto”, escribió el medio junto a la imagen.|13 abr. 2018|2018|crime
ecuador_elcomercio_2018_67|El Comercio|El bus que se accidentó en Papallacta ocultaba droga|Según las investigaciones sobre la ruta que realizó el bus, este partió desde Cali e ingresó al Ecuador por Sucumbíos. El destino eran llegar a playas ...|16 ago. 2018|2018|crime
ecuador_elcomercio_2018_73|El Comercio|Detienen en Colombia a ecuatoriano acusado de raptar al equipo de ...|Un ecuatoriano fue capturado, este domingo 5 de agosto, en Colombia, acusado de secuestrar al equipo de prensa del diario El Comercio de Quito asesinado ...|5 ago. 2018|2018|crime
ecuador_elcomercio_2018_74|El Comercio|El número de muertos por accidente en la vía Cuenca-Loja subió a 11|... eso se determinará en las investigaciones de la Oficina de Investigación de Accidentes de Tránsito de la Comisión de Tránsito del Ecuador”, dijo Panamá.|1 Sep. 2018|2018|crime
ecuador_elcomercio_2018_75|El Comercio (Ecuador)|En un mes, Ecuador atestiguó la violencia del narcotráfico|AA. de Colombia y de Ecuador se intensificó. ... César Navas confirmó el secuestro del equipo periodístico de EL COMERCIO y hubo contacto concaptores.|26 abr. 2018|2018|crime
ecuador_elcomercio_2018_76|El Comercio (Ecuador)|Ecuatoriano disidente de las FARC, sospechoso del atentado|Militares que custodian la frontera revelan que, al parecer, él maneja la logística del traslado de droga entre Ecuador y Colombia. Sus operaciones delictivas ...|29 ene. 2018|2018|crime
ecuador_eluniverso_2015_23|El Universo|Hackers atacan a opositores y periodistas independientes en Ecuador ...|El grupo ha estado atacando a figuras de la oposición y periodistas independientes en Ecuador con programas espía. También gestiona páginas tapadera.|9 dic. 2015|2015|crime
ecuador_eluniverso_2015_58|El Universo|Policía de Ecuador detiene a 'El Paisa', uno de los más buscados en ...|Efectivos de Ecuador detuvieron en la provincia de Sucumbíos a Diego Mauricio M.R., alias 'El Paisa', la tercera persona más buscada de Colombia, informó el ...|20 Jul. 2015|2015|crime
ecuador_eluniverso_2015_72|El Universo|42 personas procesadas por muerte de una niña|La Fiscalía General informó ayer que se abrió un proceso legal en contra de 42 personas por el caso de la niña ecuatoriana Noemí A., de 12 años, quien el 11 ...|24 Feb. 2015|2015|crime
ecuador_eluniverso_2015_106|El Universo|Christina Aguilera estuvo en Ecuador para reconectarse con sus raíces|Pero la semana pasada no sólo ofreció apoyo a los niños pobres en Ecuador también se conectó con sus raíces. Fue la primera vez que la cantante de 34 ...|29 Sep. 2015|2015|crime
ecuador_eluniverso_2015_107|El Universo|Expertos internacionales resolverán casos de desaparecidos en ...|Luego de una reunión de seis horas entre el presidente Rafael Correa y los familiares de personas desaparecidas, el Gobierno se comprometió a intentar ...|5 Mar. 2015|2015|crime
ecuador_eluniverso_2016_7|El Universo|Encuentran sin vida a jóvenes argentinas que estaban de vacaciones ...|... Desapariciones, Extorsión y Secuestros (Dinased) participó en el levantamiento del cadáver encontrado el domingo (Priscila del Pezo, EL UNIVERSO).|28 Feb. 2016|2016|crime
ecuador_eluniverso_2016_16|El Universo|Una canción para las argentinas asesinadas en Ecuador|El crimen de las dos jóvenes mendocinas en Montañita, en febrero pasado, estremeció a miles en Ecuador, Argentina y otros países de la región y del mundo.|9 Mar. 2016|2016|crime
ecuador_eluniverso_2016_77|El Universo|Asesinado periodista de EL UNIVERSO en un asalto|Lo hizo con la fundación Techo Ecuador. En el colegio fiscal Rafael García Goyena, donde estudió Robert Salazar, también hubo conmoción por su muerte.|7 Nov. 2016|2016|crime
ecuador_eluniverso_2016_88|El Universo|Colombia detiene a ecuatoriano señalado de tráfico de niños|Según el texto, el hombre sería quien coordinaba las rutas para llevar ilegalmente menores de edad desde Ecuador hacia Estados Unidos y también quien ...|23 May. 2016|2016|crime
